id;game_tag_name;description
1;CFP Franc Cross-platform;Georgia
2;Neck parsing lime;Wyoming Quetzal quantify
3;synthesizing redundant;Frozen
4;Buckinghamshire;protocol initiatives salmon
5;Functionality primary;Awesome Rubber Towels Assurance
6;Colombian Peso Unidad de Valor Real;Prairie dynamic
7;Internal;neural Sleek Rubber Fish Savings Account
8;matrix B2C Auto Loan Account;Guadeloupe
9;Generic;primary Checking Account European Unit of Account 9(E.U.A.-9)
10;Home Loan Account Auto Loan Account Connecticut;Realigned Shoes
